83 ---- 6.069280824540983e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [0.7142857142857144, 2.1428571428571432], [7.142857142857142, 10.0], [1.3, 1.6]]
84 ---- 5.879640398206505e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [2.1428571428571432, 3.571428571428571], [-10.0, -7.142857142857142], [1.3, 1.6]]
85 ---- 1.7292180136700256e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [2.1428571428571432, 3.571428571428571], [-7.142857142857142, -4.285714285714286], [1.3, 1.6]]
86 ---- 3.0514424966311316e+18 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [2.1428571428571432, 3.571428571428571], [-4.285714285714286, -1.4285714285714288], [1.3, 1.6]]
87 ---- 8684176007545322.0 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [2.1428571428571432, 3.571428571428571], [-1.4285714285714288, 1.4285714285714288], [1.3, 1.6]]
88 ---- 5.394604299861508e+18 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [2.1428571428571432, 3.571428571428571], [1.4285714285714288, 4.2857142857142865], [1.3, 1.6]]
89 ---- 2.978673703874809e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [2.1428571428571432, 3.571428571428571], [4.2857142857142865, 7.142857142857142], [1.3, 1.6]]
90 ---- 4.6154893205835645e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [2.1428571428571432, 3.571428571428571], [7.142857142857142, 10.0], [1.3, 1.6]]
91 ---- 1.066118582242436e+20 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [3.571428571428571, 5.0], [-10.0, -7.142857142857142], [1.3, 1.6]]
92 ---- 1.2804256739571403e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [3.571428571428571, 5.0], [-7.142857142857142, -4.285714285714286], [1.3, 1.6]]
93 ---- 3.720822790024046e+18 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [3.571428571428571, 5.0], [-4.285714285714286, -1.4285714285714288], [1.3, 1.6]]
94 ---- 5759048122563181.0 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [3.571428571428571, 5.0], [-1.4285714285714288, 1.4285714285714288], [1.3, 1.6]]
95 ---- 6.588864596782665e+18 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [3.571428571428571, 5.0], [1.4285714285714288, 4.2857142857142865], [1.3, 1.6]]
