74 ---- 5.652285619666735e+17 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-1.4285714285714288, 1.4285714285714288], [2.857142857142857, 3.5714285714285716]]
75 ---- 1153512617986989.2 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-1.4285714285714288, 1.4285714285714288], [3.5714285714285716, 4.285714285714286]]
76 ---- 4547122818170.678 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-1.4285714285714288, 1.4285714285714288], [4.285714285714286, 5.0]]
77 ---- 2.1575288438285358e+30 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [1.4285714285714288, 4.2857142857142865], [0.0, 0.7142857142857143]]
78 ---- 1.5909298021115856e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [1.4285714285714288, 4.2857142857142865], [0.7142857142857143, 1.4285714285714286]]
79 ---- 8.418810321897885e+24 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [1.4285714285714288, 4.2857142857142865], [1.4285714285714286, 2.142857142857143]]
80 ---- 2.1842771851205872e+22 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [1.4285714285714288, 4.2857142857142865], [2.142857142857143, 2.857142857142857]]
81 ---- 3.7046463255284e+19 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [1.4285714285714288, 4.2857142857142865], [2.857142857142857, 3.5714285714285716]]
82 ---- 1.1572467262531162e+16 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [1.4285714285714288, 4.2857142857142865], [3.5714285714285716, 4.285714285714286]]
83 ---- 6230732113567.507 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [1.4285714285714288, 4.2857142857142865], [4.285714285714286, 5.0]]
84 ---- 4.181013367612922e+30 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [4.2857142857142865, 7.142857142857142], [0.0, 0.7142857142857143]]
85 ---- 3.0086611031862244e+28 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [4.2857142857142865, 7.142857142857142], [0.7142857142857143, 1.4285714285714286]]
86 ---- 3.4372087539251497e+25 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [4.2857142857142865, 7.142857142857142], [1.4285714285714286, 2.142857142857143]]
87 ---- 6.622841972132756e+22 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [4.2857142857142865, 7.142857142857142], [2.142857142857143, 2.857142857142857]]
88 ---- 1.0156090019148718e+20 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [4.2857142857142865, 7.142857142857142], [2.857142857142857, 3.5714285714285716]]
89 ---- 8.41071078356502e+17 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [4.2857142857142865, 7.142857142857142], [3.5714285714285716, 4.285714285714286]]
90 ---- 707640083848893.0 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [4.2857142857142865, 7.142857142857142], [4.285714285714286, 5.0]]
91 ---- 2.6517418783615595e+31 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [7.142857142857142, 10.0], [0.0, 0.7142857142857143]]
92 ---- 5.353279572029383e+28 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [7.142857142857142, 10.0], [0.7142857142857143, 1.4285714285714286]]
