30 ---- 164.43518543036652 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333]]
31 ---- 126.75939651104895 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-10.0, -3.333333333333333]]
32 ---- 36.61150160257478 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334]]
32 ---- 120.84592381808099 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333]]
33 ---- 22.339453770873906 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [3.333333333333334, 10.0]]
34 ---- 152.50998627431832 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333]]
34 ---- 40.867660020440475 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0]]
34 ---- 52.27197350263031 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [3.333333333333334, 10.0]]
35 ---- 54.38956022581408 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334]]
36 ---- 32.23681520686336 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334]]
37 ---- 103.77996881684928 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333]]
37 ---- 45.78470127230575 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0]]
38 ---- 44.55115788990972 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334]]
39 ---- 74.45928998900965 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [-10.0, -3.333333333333333]]
40 ---- 39.025108426364326 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [3.333333333333334, 10.0]]
40 ---- 47.661468421079306 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [3.333333333333334, 10.0]]
40 ---- 541.6124084090421 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333]]
41 ---- 512.2254129738093 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334]]
42 ---- 48.67250471979129 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334]]
43 ---- 253.33693630689586 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-10.0, -3.333333333333333]]
43 ---- 370.441130149947 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334]]
43 ---- 219.454543452986 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334]]
43 ---- 453.41025596430734 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [3.333333333333334, 10.0]]
44 ---- 231.06117240147466 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [3.333333333333334, 10.0]]
44 ---- 879.8434333474729 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333]]
45 ---- 313.33620344141815 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333]]
44 ---- 342.40636739769764 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0]]
