91 ---- 1582.879503394583 ---- [[4.081632653061225, 6.122448979591837], [17.3469387755102, 23.469387755102037], [5.102040816326527, 11.224489795918362]]
92 ---- 134.9801280452688 ---- [[4.081632653061225, 6.122448979591837], [17.3469387755102, 23.469387755102037], [17.3469387755102, 23.469387755102037]]
92 ---- 440.5759789170701 ---- [[4.081632653061225, 6.122448979591837], [17.3469387755102, 23.469387755102037], [11.224489795918362, 17.3469387755102]]
93 ---- 119.94052151989072 ---- [[4.081632653061225, 6.122448979591837], [17.3469387755102, 23.469387755102037], [23.469387755102037, 29.59183673469387]]
94 ---- 116.57881406537439 ---- [[4.081632653061225, 6.122448979591837], [17.3469387755102, 23.469387755102037], [29.59183673469387, 35.71428571428571]]
95 ---- 8123.507899218109 ---- [[4.081632653061225, 6.122448979591837], [23.469387755102037, 29.59183673469387], [-7.142857142857146, -1.0204081632653095]]
95 ---- 5542.766366856657 ---- [[4.081632653061225, 6.122448979591837], [23.469387755102037, 29.59183673469387], [-1.0204081632653095, 5.102040816326527]]
96 ---- 4305.7102333707935 ---- [[4.081632653061225, 6.122448979591837], [23.469387755102037, 29.59183673469387], [5.102040816326527, 11.224489795918362]]
97 ---- 1900.6015800006376 ---- [[4.081632653061225, 6.122448979591837], [23.469387755102037, 29.59183673469387], [17.3469387755102, 23.469387755102037]]
97 ---- 2881.4254631705253 ---- [[4.081632653061225, 6.122448979591837], [23.469387755102037, 29.59183673469387], [11.224489795918362, 17.3469387755102]]
98 ---- 605.7523267229 ---- [[4.081632653061225, 6.122448979591837], [23.469387755102037, 29.59183673469387], [23.469387755102037, 29.59183673469387]]
98 ---- 188.53914215883 ---- [[4.081632653061225, 6.122448979591837], [23.469387755102037, 29.59183673469387], [29.59183673469387, 35.71428571428571]]
99 ---- 14104.403596276057 ---- [[4.081632653061225, 6.122448979591837], [29.59183673469387, 35.71428571428571], [-7.142857142857146, -1.0204081632653095]]
100 ---- 9489.914227903624 ---- [[4.081632653061225, 6.122448979591837], [29.59183673469387, 35.71428571428571], [5.102040816326527, 11.224489795918362]]
